filename,width,height,class,xmin,ymin,xmax,ymax
26831.png,86,39,10,44,10,53,29
26832.png,117,61,7,43,14,62,42
26832.png,117,61,5,61,13,75,41
26833.png,49,22,1,17,5,24,19
26833.png,49,22,5,24,5,31,19
26834.png,116,42,1,36,6,49,34
26834.png,116,42,1,50,9,56,37
26834.png,116,42,10,56,8,68,36
26834.png,116,42,10,68,2,82,30
26835.png,85,39,7,29,4,45,33
26835.png,85,39,1,47,4,57,33
26836.png,61,26,1,18,1,27,22
26836.png,61,26,8,28,2,41,23
26837.png,239,117,3,93,23,116,68
26837.png,239,117,6,116,24,140,69
26838.png,169,82,1,69,22,82,61
26838.png,169,82,10,79,21,98,60
26839.png,155,70,4,55,20,76,55
26839.png,155,70,2,79,19,100,54
26840.png,95,26,5,50,7,63,25
26840.png,95,26,2,62,6,73,24
26841.png,264,161,1,20,39,45,108
26841.png,264,161,3,48,38,92,107
26841.png,264,161,3,95,30,138,99
26842.png,111,52,1,42,14,54,43
26842.png,111,52,8,53,13,69,42
26843.png,54,24,2,18,2,26,19
26843.png,54,24,5,27,2,35,19
26844.png,172,80,1,59,8,80,70
26844.png,172,80,2,81,13,115,75
26845.png,75,35,3,29,6,40,32
26845.png,75,35,2,39,8,51,34
26846.png,106,54,3,40,11,63,43
26847.png,115,52,2,34,3,59,48
26847.png,115,52,8,54,6,78,51
26848.png,73,34,6,28,11,38,24
26848.png,73,34,1,38,11,43,24
26849.png,58,25,6,19,1,30,24
26849.png,58,25,6,29,1,41,24
26850.png,151,68,1,54,14,73,54
26850.png,151,68,10,74,13,97,53
26851.png,62,29,4,25,4,32,25
26851.png,62,29,9,32,5,38,26
26852.png,133,56,4,43,9,66,50
26852.png,133,56,5,67,8,91,49
26853.png,243,93,3,88,22,111,66
26853.png,243,93,9,111,26,131,70
26853.png,243,93,7,130,22,155,66
26854.png,145,53,3,49,13,62,41
26854.png,145,53,3,64,14,79,42
26854.png,145,53,5,80,13,95,41
26855.png,102,54,2,36,6,50,47
26855.png,102,54,2,50,7,63,48
26856.png,114,53,5,37,5,57,46
26856.png,114,53,3,57,5,74,46
26857.png,122,59,8,41,5,80,53
26858.png,79,34,4,27,5,41,31
26858.png,79,34,8,42,4,57,30
26859.png,87,39,8,30,4,43,34
26859.png,87,39,3,43,2,58,32
26860.png,160,62,2,48,6,74,54
26860.png,160,62,1,71,8,89,56
26860.png,160,62,3,89,10,116,58
26861.png,170,99,3,69,13,102,85
26861.png,170,99,10,97,9,129,81
26861.png,170,99,4,124,8,156,80
26862.png,171,68,1,70,18,80,44
26862.png,171,68,10,80,21,90,47
26862.png,171,68,4,90,20,104,46
26863.png,83,39,9,26,4,45,34
26863.png,83,39,1,43,7,61,37
26864.png,139,45,2,34,4,56,35
26864.png,139,45,3,57,5,81,36
26864.png,139,45,2,82,5,108,36
26865.png,56,25,8,19,3,29,20
26865.png,56,25,3,27,4,35,21
26866.png,101,54,4,34,11,52,48
26866.png,101,54,6,50,9,64,46
26867.png,87,44,5,34,3,44,34
26867.png,87,44,3,44,8,57,39
26868.png,68,32,1,23,4,29,25
26868.png,68,32,8,30,6,35,27
26868.png,68,32,5,34,4,42,25
26869.png,157,73,9,62,14,69,53
26869.png,157,73,8,73,15,84,54
26870.png,164,94,2,54,16,72,69
26870.png,164,94,6,71,20,89,73
26871.png,75,24,1,18,1,28,21
26871.png,75,24,10,28,1,44,21
26871.png,75,24,7,44,1,58,21
26872.png,201,79,9,74,21,95,57
26872.png,201,79,3,109,15,138,51
26873.png,39,19,8,15,2,26,16
26874.png,149,59,3,46,5,76,52
26874.png,149,59,7,78,5,107,52
26875.png,168,71,6,61,14,82,55
26875.png,168,71,10,84,14,111,55
26876.png,94,49,3,36,5,58,44
26877.png,175,106,1,120,53,135,102
26877.png,175,106,9,136,49,159,98
26877.png,175,106,1,159,47,172,96
26878.png,186,82,5,59,14,93,68
26878.png,186,82,10,93,15,118,69
26879.png,115,55,10,50,11,76,36
26880.png,179,79,1,69,23,79,45
26880.png,179,79,1,78,27,87,49
26880.png,179,79,4,85,23,99,45
26880.png,179,79,5,97,25,113,47
26881.png,61,18,2,14,3,22,16
26881.png,61,18,5,23,2,31,15
26881.png,61,18,5,32,3,41,16
26881.png,61,18,1,42,2,47,15
26882.png,52,25,1,16,1,22,23
26882.png,52,25,10,24,1,34,23
26883.png,69,33,3,28,6,37,26
26883.png,69,33,9,36,6,44,26
26884.png,67,27,3,21,7,26,22
26885.png,348,238,1,190,88,210,146
26885.png,348,238,10,216,101,240,159
26885.png,348,238,8,248,105,270,163
26885.png,348,238,2,271,107,303,165
26886.png,221,127,2,78,24,95,56
26886.png,221,127,5,94,24,109,56
26886.png,221,127,1,109,24,124,56
26887.png,112,62,7,51,16,65,48
26888.png,371,172,6,115,22,178,158
26888.png,371,172,3,176,16,236,152
26889.png,298,159,6,122,30,181,117
26890.png,199,86,3,65,17,102,74
26890.png,199,86,10,103,15,136,72
26891.png,85,46,1,35,7,44,40
26891.png,85,46,1,43,7,51,40
26892.png,80,33,2,23,8,35,30
26892.png,80,33,9,35,8,46,30
26893.png,48,21,1,16,2,23,19
26893.png,48,21,2,22,2,30,19
26894.png,187,81,1,62,9,81,62
26894.png,187,81,6,80,11,102,64
26894.png,187,81,10,102,15,126,68
26895.png,83,41,6,30,5,41,35
26895.png,83,41,5,42,6,51,36
26896.png,55,26,9,20,7,27,21
26896.png,55,26,5,26,8,33,22
26897.png,280,132,7,108,64,125,99
26897.png,280,132,9,124,72,141,107
26897.png,280,132,1,144,71,161,106
26898.png,51,24,1,19,4,25,18
26898.png,51,24,4,25,5,29,19
26899.png,422,141,7,261,56,278,84
26899.png,422,141,3,277,53,294,81
26900.png,123,55,5,40,5,60,47
26900.png,123,55,9,63,3,83,45
26901.png,67,33,6,21,3,33,31
26901.png,67,33,5,34,2,46,30
26902.png,202,79,1,75,17,88,62
26902.png,202,79,5,87,17,110,62
26902.png,202,79,5,110,15,130,60
26903.png,69,27,4,24,2,34,20
26903.png,69,27,3,35,3,50,21
26904.png,96,39,4,29,2,47,31
26904.png,96,39,4,46,2,65,31
26905.png,118,61,5,48,12,68,49
26906.png,76,38,2,27,5,38,36
26906.png,76,38,9,37,2,53,33
26907.png,105,36,2,26,6,40,32
26907.png,105,36,4,40,4,52,30
26907.png,105,36,2,53,4,65,30
26907.png,105,36,6,65,4,80,30
26908.png,100,32,1,25,5,32,25
26908.png,100,32,7,35,5,46,25
26908.png,100,32,10,50,4,60,24
26908.png,100,32,6,66,4,76,24
26909.png,65,28,4,26,4,40,22
26910.png,72,35,4,29,2,36,28
26910.png,72,35,5,36,3,45,29
26911.png,69,35,3,23,3,35,31
26911.png,69,35,6,35,5,47,33
26912.png,130,57,8,53,15,63,36
26912.png,130,57,6,64,12,74,33
26913.png,82,51,1,35,5,50,47
26914.png,135,77,1,59,16,65,63
26914.png,135,77,1,66,17,71,64
26914.png,135,77,9,70,18,79,65
26915.png,88,27,2,21,2,32,24
26915.png,88,27,1,35,1,40,23
26915.png,88,27,10,41,1,55,23
26915.png,88,27,7,55,1,66,23
26916.png,88,35,2,26,1,44,33
26916.png,88,35,5,43,2,63,34
26917.png,119,52,5,63,11,75,33
26918.png,267,121,2,77,39,107,96
26918.png,267,121,3,107,30,137,87
26918.png,267,121,8,139,15,173,72
26919.png,94,45,6,31,5,47,40
26919.png,94,45,10,44,7,62,42
26920.png,102,52,5,43,16,52,38
26920.png,102,52,10,51,14,61,36
26921.png,437,141,3,241,49,264,112
26921.png,437,141,4,264,45,294,108
26921.png,437,141,8,299,41,331,104
26922.png,117,65,1,13,16,30,54
26922.png,117,65,6,30,16,46,54
26922.png,117,65,1,50,18,62,56
26923.png,191,90,2,67,44,95,73
26923.png,191,90,10,83,28,105,57
26923.png,191,90,9,99,17,124,46
26924.png,62,26,6,21,3,31,20
26924.png,62,26,8,31,2,42,19
26925.png,116,48,3,37,6,57,45
26925.png,116,48,6,59,7,79,46
26926.png,70,32,1,22,2,31,29
26926.png,70,32,5,34,2,48,29
26927.png,151,46,2,29,1,61,40
26927.png,151,46,7,55,4,96,43
26927.png,151,46,8,82,5,119,44
26928.png,41,17,9,13,1,18,14
26928.png,41,17,3,18,2,24,15
26928.png,41,17,10,24,2,30,15
26929.png,159,62,2,39,9,64,52
26929.png,159,62,8,63,6,93,49
26929.png,159,62,6,89,11,115,54
26930.png,383,184,3,211,119,225,150
26930.png,383,184,7,221,116,235,147
26930.png,383,184,5,232,116,251,147
26931.png,228,102,8,76,22,112,89
26931.png,228,102,8,116,23,160,90
26932.png,222,90,5,56,3,112,71
26932.png,222,90,6,111,14,162,82
26933.png,104,42,5,39,10,51,33
26933.png,104,42,4,49,11,61,34
26933.png,104,42,3,58,8,69,31
26934.png,40,20,4,16,4,24,17
26935.png,371,128,1,158,53,173,82
26935.png,371,128,7,169,55,187,84
26935.png,371,128,10,187,57,202,86
26936.png,49,19,7,16,1,25,19
26936.png,49,19,2,24,1,34,19
26937.png,241,103,4,129,13,174,87
26938.png,99,34,3,27,3,41,28
26938.png,99,34,5,42,3,56,28
26938.png,99,34,5,58,3,71,28
26939.png,130,59,3,40,3,65,51
26939.png,130,59,9,62,7,89,55
26940.png,152,74,5,47,2,78,63
26940.png,152,74,8,78,5,101,66
26941.png,164,77,9,60,18,84,63
26941.png,164,77,9,86,15,107,60
26942.png,70,35,2,28,6,38,26
26942.png,70,35,5,35,8,45,28
26943.png,78,35,4,29,4,41,32
26943.png,78,35,6,41,3,52,31
26944.png,184,84,8,68,13,93,68
26944.png,184,84,9,94,13,118,68
26945.png,71,28,2,24,2,32,26
26945.png,71,28,7,32,2,42,26
26945.png,71,28,6,42,3,54,27
26946.png,63,25,2,21,4,31,20
26946.png,63,25,6,30,2,37,18
26946.png,63,25,1,37,2,43,18
26947.png,156,74,1,45,11,69,71
26947.png,156,74,2,73,3,107,63
26948.png,175,65,4,84,17,105,58
26948.png,175,65,6,99,11,119,52
26949.png,71,29,3,23,4,33,23
26949.png,71,29,1,33,4,38,23
26949.png,71,29,10,38,4,48,23
26950.png,44,21,2,19,1,25,18
26951.png,204,99,3,63,33,98,84
26951.png,204,99,2,92,28,118,79
26951.png,204,99,4,103,4,148,55
26952.png,111,59,3,45,9,68,51
26953.png,168,76,2,69,23,79,51
26953.png,168,76,1,80,23,89,51
26953.png,168,76,10,92,26,103,54
26954.png,170,82,2,66,14,86,49
26954.png,170,82,2,88,23,106,58
26954.png,170,82,8,109,33,126,68
26955.png,48,25,1,21,4,28,21
26956.png,53,24,6,21,4,29,18
26956.png,53,24,2,27,4,34,18
26957.png,241,103,5,72,7,113,79
26957.png,241,103,10,124,19,175,91
26958.png,37,14,3,12,1,19,13
26958.png,37,14,1,19,1,24,13
26959.png,165,89,8,65,6,121,72
26960.png,67,27,7,21,3,31,22
26960.png,67,27,7,31,3,42,22
26961.png,86,41,3,27,17,39,36
26961.png,86,41,2,37,12,48,31
26961.png,86,41,7,49,9,61,28
26962.png,141,59,6,51,8,80,47
26963.png,211,91,6,118,39,134,78
26964.png,98,45,9,38,9,51,35
26964.png,98,45,9,49,10,62,36
26965.png,252,91,2,63,11,107,74
26965.png,252,91,3,107,15,148,78
26965.png,252,91,3,150,20,185,83
26966.png,87,34,7,33,6,45,26
26966.png,87,34,7,44,6,55,26
26967.png,43,18,6,13,1,21,15
26967.png,43,18,3,21,1,29,15
26968.png,63,28,2,23,5,30,22
26969.png,63,25,2,21,2,31,21
26969.png,63,25,8,35,2,47,21
26970.png,89,48,8,35,12,46,38
26970.png,89,48,6,44,12,55,38
26971.png,74,35,2,31,5,46,31
26972.png,296,209,8,148,25,192,185
26973.png,84,34,1,21,1,33,32
26973.png,84,34,5,34,5,48,36
26973.png,84,34,7,47,2,58,33
26974.png,37,31,3,12,4,19,21
26974.png,37,31,3,19,5,25,22
26975.png,85,42,2,35,9,44,29
26975.png,85,42,10,44,9,54,29
26976.png,247,105,1,84,28,102,85
26976.png,247,105,3,101,26,134,83
26976.png,247,105,8,134,26,164,83
26977.png,116,55,3,39,9,72,45
26978.png,75,36,4,24,4,37,32
26978.png,75,36,7,38,5,52,33
26979.png,117,60,4,44,4,74,51
26980.png,179,69,1,52,10,71,59
26980.png,179,69,7,70,9,97,58
26980.png,179,69,6,99,6,133,55
26981.png,53,25,4,19,4,27,18
26981.png,53,25,3,26,3,32,17
26982.png,126,55,7,42,7,59,44
26982.png,126,55,10,61,11,81,48
26983.png,63,34,3,25,5,36,30
26984.png,142,55,2,47,15,66,45
26984.png,142,55,1,65,13,74,43
26984.png,142,55,3,75,10,92,40
26985.png,61,33,9,22,1,37,30
26986.png,65,23,4,21,6,31,24
26986.png,65,23,4,31,5,43,23
26986.png,65,23,3,43,4,55,22
26987.png,99,42,5,29,2,51,39
26987.png,99,42,3,51,3,70,40
26988.png,151,54,7,40,14,60,42
26988.png,151,54,5,64,13,83,41
26988.png,151,54,9,90,11,106,39
26989.png,296,143,1,108,29,142,118
26989.png,296,143,5,142,32,193,121
26990.png,96,37,3,25,6,39,34
26990.png,96,37,7,39,4,53,32
26990.png,96,37,7,53,3,69,31
26991.png,175,76,3,54,10,89,65
26991.png,175,76,4,86,9,119,64
26992.png,168,70,1,64,4,77,59
26992.png,168,70,1,78,5,89,60
26992.png,168,70,6,92,11,105,66
26993.png,197,79,4,84,37,101,61
26993.png,197,79,6,100,36,112,60
26994.png,115,54,1,38,3,51,45
26994.png,115,54,3,53,6,74,48
26995.png,152,112,2,77,12,123,96
26995.png,152,112,9,120,12,152,96
26996.png,75,40,7,32,4,44,33
26997.png,99,41,8,31,1,50,37
26997.png,99,41,3,53,2,70,38
26998.png,76,33,3,27,6,36,27
26998.png,76,33,9,36,4,43,25
26998.png,76,33,4,43,6,51,27
26999.png,235,106,6,84,22,115,76
26999.png,235,106,10,120,28,150,82
27000.png,138,56,6,46,19,64,44
27000.png,138,56,5,61,15,78,40
27000.png,138,56,10,75,10,90,35
27001.png,92,51,8,33,12,49,45
27002.png,171,75,2,55,13,78,58
27002.png,171,75,3,79,9,99,54
27002.png,171,75,5,98,10,114,55
27003.png,83,38,4,30,2,44,36
27003.png,83,38,1,44,3,55,37
27004.png,84,41,3,25,0,37,33
27004.png,84,41,5,35,2,43,35
27005.png,82,39,4,28,4,43,34
27005.png,82,39,1,42,3,52,33
27006.png,71,27,3,21,1,36,23
27006.png,71,27,4,38,1,49,23
27007.png,208,131,1,44,29,72,103
27007.png,208,131,10,71,30,108,104
27008.png,434,216,2,156,34,224,185
27008.png,434,216,10,226,43,287,194
27009.png,36,14,5,11,1,19,14
27009.png,36,14,4,19,1,25,14
27010.png,118,64,5,54,9,64,57
27010.png,118,64,3,64,8,76,56
27011.png,150,75,1,52,20,69,52
27011.png,150,75,10,67,22,90,54
27012.png,80,37,7,28,8,38,29
27012.png,80,37,8,39,10,49,31
27013.png,136,48,2,44,9,60,32
27013.png,136,48,10,62,10,78,33
27013.png,136,48,2,82,11,97,34
27014.png,90,39,1,32,6,38,29
27014.png,90,39,10,38,6,49,29
27014.png,90,39,5,48,6,59,29
27015.png,140,70,7,57,15,69,57
27015.png,140,70,8,66,15,86,57
27016.png,95,41,2,34,4,49,38
27016.png,95,41,6,46,3,64,37
27017.png,77,28,1,28,1,36,22
27017.png,77,28,8,38,3,52,24
27018.png,400,159,1,168,93,187,125
27018.png,400,159,9,185,96,199,128
27019.png,100,41,3,29,1,46,32
27019.png,100,41,5,50,1,70,32
27020.png,104,60,4,44,7,61,50
27020.png,104,60,1,61,6,74,49
27021.png,140,62,2,46,12,67,59
27021.png,140,62,2,69,5,90,52
27022.png,213,95,1,88,28,110,80
27022.png,213,95,10,110,26,141,78
27023.png,61,27,7,18,1,29,22
27023.png,61,27,5,29,3,41,24
27024.png,136,57,8,44,12,60,44
27024.png,136,57,4,75,11,94,43
27024.png,136,57,3,106,17,122,49
27025.png,72,41,1,32,5,42,39
27026.png,109,59,4,45,10,69,53
27027.png,141,69,1,50,6,68,65
27027.png,141,69,6,70,4,88,63
27028.png,53,21,1,18,2,25,18
27028.png,53,21,4,25,2,36,18
27029.png,352,196,1,106,121,139,181
27029.png,352,196,1,132,111,165,171
27029.png,352,196,3,151,100,188,160
27029.png,352,196,8,188,94,229,154
27030.png,119,59,2,43,14,60,40
27030.png,119,59,4,60,16,75,42
27031.png,247,201,1,157,25,174,70
27031.png,247,201,10,174,26,181,71
27031.png,247,201,6,185,34,210,79
27032.png,81,38,3,28,4,43,33
27032.png,81,38,1,45,3,57,32
27033.png,40,18,9,14,1,25,18
27033.png,40,18,3,26,1,34,18
27034.png,211,110,3,78,29,106,99
27034.png,211,110,5,105,16,135,86
27035.png,96,45,2,32,8,50,39
27035.png,96,45,9,49,9,65,40
27036.png,202,98,2,70,16,103,81
27036.png,202,98,9,101,19,124,84
27037.png,133,69,1,49,17,68,57
27037.png,133,69,2,66,18,82,58
27038.png,64,28,1,20,3,29,26
27038.png,64,28,5,30,3,44,26
27039.png,62,28,3,23,7,32,26
27039.png,62,28,1,33,6,39,25
27040.png,82,38,8,31,8,41,29
27040.png,82,38,2,40,9,46,30
27041.png,119,57,2,43,19,57,45
27041.png,119,57,6,53,17,65,43
27041.png,119,57,3,62,14,74,40
27042.png,103,46,2,34,4,51,42
27042.png,103,46,8,53,1,71,39
27043.png,86,39,3,27,4,43,36
27043.png,86,39,5,44,4,58,36
27044.png,57,30,2,23,6,37,27
27045.png,151,68,7,38,6,59,62
27045.png,151,68,4,67,4,85,60
27045.png,151,68,7,84,4,106,60
27046.png,69,33,1,26,6,31,28
27046.png,69,33,5,32,5,45,27
27047.png,58,28,4,26,5,35,24
27048.png,315,159,1,112,35,154,128
27048.png,315,159,6,152,35,199,128
27049.png,189,91,1,66,11,90,70
27049.png,189,91,3,90,9,120,68
27050.png,146,75,2,56,13,74,55
27050.png,146,75,5,73,19,87,61
27051.png,70,32,1,24,3,29,24
27051.png,70,32,7,38,4,48,25
27052.png,305,111,1,117,36,138,80
27052.png,305,111,7,146,31,162,75
27052.png,305,111,6,170,32,195,76
27053.png,85,35,2,26,2,37,28
27053.png,85,35,7,49,5,59,31
27054.png,90,48,5,35,4,56,42
27055.png,100,33,3,23,3,37,28
27055.png,100,33,9,39,3,52,28
27055.png,100,33,7,60,3,64,28
27055.png,100,33,1,64,2,77,27
27056.png,33,13,3,10,1,16,13
27056.png,33,13,4,17,1,23,13
27057.png,68,32,4,27,6,39,26
27058.png,79,35,2,29,3,38,26
27058.png,79,35,8,39,4,46,27
27059.png,269,76,7,91,4,112,41
27059.png,269,76,5,116,10,126,47
27059.png,269,76,10,127,11,139,48
27060.png,145,67,1,60,18,68,43
27060.png,145,67,5,68,21,81,46
27061.png,119,57,6,44,11,62,46
27061.png,119,57,9,58,13,77,48
27062.png,200,105,1,66,11,97,88
27062.png,200,105,3,95,13,132,90
27063.png,52,12,4,9,1,18,12
27063.png,52,12,10,18,1,27,12
27063.png,52,12,4,26,1,34,12
27063.png,52,12,7,35,1,42,12
27064.png,151,60,2,40,2,60,49
27064.png,151,60,10,62,4,84,51
27064.png,151,60,9,86,3,106,50
27065.png,72,28,3,21,1,34,27
27065.png,72,28,2,37,1,49,27
27066.png,60,28,5,21,6,30,23
27066.png,60,28,3,30,6,39,23
27067.png,77,34,5,27,1,38,25
27068.png,173,81,1,61,11,84,66
27068.png,173,81,8,82,10,116,65
27069.png,202,77,9,92,6,117,63
27069.png,202,77,1,122,9,142,66
27070.png,75,39,2,32,3,46,34
27071.png,97,49,2,39,5,61,40
27072.png,57,27,2,19,2,27,25
27072.png,57,27,5,28,2,38,25
27073.png,60,30,6,25,3,38,24
27074.png,43,19,1,14,1,19,17
27074.png,43,19,5,20,1,28,17
27075.png,69,38,1,30,5,40,33
27076.png,280,127,6,103,35,128,86
27076.png,280,127,9,127,54,154,105
27077.png,78,38,6,28,5,41,31
27077.png,78,38,10,39,5,52,31
27078.png,108,39,3,27,1,43,33
27078.png,108,39,10,48,3,63,35
27078.png,108,39,6,65,2,80,34
27079.png,108,50,5,38,9,53,41
27079.png,108,50,3,54,10,67,42
27080.png,74,35,3,20,2,39,34
27080.png,74,35,4,37,4,58,36
27081.png,72,32,6,25,3,35,29
27081.png,72,32,8,38,3,49,29
27082.png,156,77,4,67,24,82,68
27082.png,156,77,1,82,24,93,68
27082.png,156,77,2,89,20,103,64
27083.png,282,117,1,92,8,115,87
27083.png,282,117,2,115,14,159,93
27083.png,282,117,2,158,7,200,86
27084.png,54,20,7,16,1,22,18
27084.png,54,20,5,23,1,30,18
27084.png,54,20,2,30,1,37,18
27085.png,163,72,3,64,28,80,60
27085.png,163,72,3,80,29,94,61
27085.png,163,72,7,91,32,105,64
27086.png,54,25,5,18,4,26,20
27086.png,54,25,4,26,3,33,19
27087.png,124,51,1,45,10,56,39
27087.png,124,51,3,51,11,65,40
27087.png,124,51,3,64,10,77,39
27088.png,449,198,7,194,108,223,159
27088.png,449,198,6,216,110,249,161
27089.png,234,83,3,66,25,101,68
27089.png,234,83,3,106,18,132,61
27089.png,234,83,9,142,15,165,58
27090.png,88,42,4,39,9,52,32
27091.png,214,161,5,35,30,89,127
27092.png,32,13,1,14,1,17,13
27092.png,32,13,1,17,1,21,13
27093.png,133,63,6,45,7,65,51
27093.png,133,63,2,65,9,84,53
27094.png,120,55,1,39,4,61,51
27094.png,120,55,1,59,7,80,54
